id	taxon	S10_Z00	S10_Z01	S10_Z03	S10_Z05	S11_Z00	S11_Z01	S11_Z03	S11_Z05	S12_Z00	S12_Z03	S12_Z05	S13_Z00	S13_Z01	S13_Z03	S13_Z07	S13_Z09	S14_Z00	S14_Z01	S14_Z03	S14_Z05	S14_Z07	S14_Z09	S15_Z00	S15_Z01	S15_Z03	S15_Z05	S15_Z07	S16_Z00	S16_Z01	S16_Z03	S16_Z05	S16_Z07	S17_Z00	S17_Z01	S17_Z03	S17_Z05	S17_Z07	S17_Z09	S18_Z00	S18_Z01	S18_Z03	S18_Z05	S18_Z07	S18_Z09	S19_Z00	S19_Z01	S19_Z03	S19_Z05	S19_Z07	S19_Z09	S1_Z00	S1_Z01	S1_Z05	S20_Z00	S20_Z01	S20_Z03	S20_Z05	S20_Z07	S20_Z09	S21_Z00	S21_Z01	S21_Z05	S21_Z07	S21_Z09	S24_Z00	S24_Z01	S24_Z03	S24_Z05	S24_Z07	S24_Z09	S25_Z00	S25_Z01	S25_Z03	S25_Z05	S25_Z07	S25_Z09	S26_Z00	S26_Z01	S26_Z03	S26_Z05	S26_Z07	S26_Z09	S27_Z00	S27_Z01	S27_Z03	S27_Z05	S27_Z07	S27_Z09	S28_Z00	S28_Z01	S28_Z03	S28_Z05	S28_Z07	S28_Z09	S29_Z00	S29_Z01	S29_Z03	S29_Z05	S29_Z07	S29_Z09	S2_Z00	S2_Z01	S2_Z03	S2_Z05	S30_Z00	S30_Z01	S30_Z03	S30_Z05	S30_Z07	S30_Z09	S31_Z00	S31_Z01	S31_Z03	S31_Z05	S31_Z07	S31_Z09	S32_Z00	S32_Z01	S32_Z03	S32_Z05	S32_Z07	S32_Z09	S33_Z00	S33_Z01	S33_Z03	S33_Z05	S33_Z07	S33_Z09	S34_Z00	S34_Z01	S34_Z03	S34_Z05	S34_Z07	S34_Z09	S3_Z00	S3_Z01	S3_Z03	S3_Z05	S4_Z00	S4_Z01	S4_Z05	S5_Z00	S5_Z01	S5_Z05	S5_Z07	S5_Z08	S5_Z09	S5_Z10	S6_Z00	S6_Z05	S7_Z00	S7_Z01	S7_Z03	S7_Z05	S8_Z00	S8_Z01	S8_Z03	S8_Z05	S9_Z00	S9_Z01	S9_Z03	S9_Z05
ext_mOTU_v31_14660	k__Archaea; p__Thaumarchaeota; c__Thaumarchaeota class incertae sedis; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Nitrosopumilaceae gen. incertae sedis; s__Nitrosopumilaceae species incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004241396	0	0.0002991782	0	0	0	0	0	0	0	0	0	0	0
ext_mOTU_v31_14926	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas species incertae sedis	0	0	0	0	0	0	0	8.50E-05	0	0	0	1.59E-05	0	0	0	0	0	0	0	0	0	4.22E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ext_mOTU_v31_15034	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria order incertae sedis; f__Gammaproteobacteria fam. incertae sedis; g__Gammaproteobacteria gen. incertae sedis; s__Gammaproteobacteria species incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001275158	0.0001990692	6.54E-05	0	0	0	0.0001051716	0.000206686	0	0	0	0	0.0002479185	0.0002778674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ext_mOTU_v31_15036	k__Bacteria; p__Proteobacteria; c__Proteobacteria class incertae sedis; o__Proteobacteria order incertae sedis; f__Proteobacteria fam. incertae sedis; g__Proteobacteria gen. incertae sedis; s__Proteobacteria species incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31E-05	0	0	0	0	0	0	1.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42E-05	0	0	0	0	0	0	0	0	0.0006508351	0.000500908	0.0003340276	1.75E-05	0	0	0.0003265565	0.0004604785	1.96E-05	0	0	4.92E-05	0.0015876918	0.0017613491	2.72E-05	0	0	2.01E-05	0.0024405625	0	0	2.18E-05	1.10E-05	7.03E-05	0.0003218144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ext_mOTU_v31_15037	k__Bacteria; p__Proteobacteria; c__Proteobacteria class incertae sedis; o__Proteobacteria order incertae sedis; f__Proteobacteria fam. incertae sedis; g__Proteobacteria gen. incertae sedis; s__Proteobacteria species incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.06E-05	0	0	0	0	0	0	1.87E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ext_mOTU_v31_15039	k__Bacteria; p__Proteobacteria; c__Proteobacteria class incertae sedis; o__Proteobacteria order incertae sedis; f__Proteobacteria fam. incertae sedis; g__Proteobacteria gen. incertae sedis; s__Proteobacteria species incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.59E-05	7.33E-05	0	0	0	0	4.32E-05	3.00E-05	0	0	0	0	0	0	0	0	0	0	4.07E-05	8.90E-05	5.48E-05	0	0	0	7.65E-05	7.08E-05	0	0	0	0	0	0	0	0	0.0019024678	0.0011457215	0.0007526348	4.93E-05	2.05E-05	0	0.0008275144	0.0005198951	5.15E-05	0	0	0	0.0012006733	0.0013702838	2.95E-05	0	0	0	0.0013361578	6.44E-05	0	0	0	0	0.0002165104	1.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ext_mOTU_v31_15043	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacteriaceae gen. incertae sedis; s__Flavobacteriaceae species incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002027966	0.000152854	7.95E-05	0	0	0	0.0004007236	0.0002454287	2.15E-05	0	0	0	0.0001340072	8.22E-05	0	0	0	0	0.0001849087	0	0	0	0	0	2.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ext_mOTU_v31_15047	k__Bacteria; p__Bacteria phylum incertae sedis; c__Bacteria class incertae sedis; o__Bacteria order incertae sedis; f__Bacteria fam. incertae sedis; g__Bacteria gen. incertae sedis; s__Bacteria species incertae sedis	0	0	0	0	0	0	0	0	0	1.92E-05	0	0	0	0	0	0	0	0	0	0	3.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61E-05	0.0001244295	0	2.43E-05	0	0	0	0	0	2.03E-05	1.83E-05	6.96E-05	0	0	0	0	3.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ext_mOTU_v31_15049	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria order incertae sedis; f__Gammaproteobacteria fam. incertae sedis; g__Gammaproteobacteria gen. incertae sedis; s__Gammaproteobacteria species incertae sedis	0	0	0	0	0	0	0	0	0	0.0001160413	1.93E-05	0	0	0	0	0	0	0	0	0.0002059668	2.94E-05	0	0	0	3.68E-05	6.79E-05	0	0	0	4.45E-05	0.0001036968	0	0	8.39E-05	2.92E-05	3.35E-05	0	0	0	0	0	0	0	0	0	0	5.51E-05	5.83E-05	0	0	0	0	0	0	0	5.40E-05	0	0	0	0	0	0	0	0	2.51E-05	5.41E-05	0.0001791529	5.49E-05	0	0	0	0	0.0003366113	0.000317966	0	0	0	0	2.95E-05	5.78E-05	0	0	0	0	0	3.49E-05	0	0	0	1.85E-05	1.72E-05	1.56E-05	3.26E-05	0	0	0	0.0002219848	9.39E-05	8.95E-06	0	0	0	0	0	0	1.74E-05	5.51E-05	4.54E-05	0	0	0	0	8.24E-05	5.69E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.69E-05	0	0	3.09E-05	0	0	0	0	0	0	0	0	0	2.58E-05	0	0	0	0	0
ext_mOTU_v31_15050	k__Archaea; p__Euryarchaeota; c__Euryarchaeota class incertae sedis; o__Euryarchaeota order incertae sedis; f__Euryarchaeota fam. incertae sedis; g__Euryarchaeota gen. incertae sedis; s__Euryarchaeota species incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54E-05	0	0	0	0	0	0	0	9.56E-05	0	0	0	0	0	0	0	1.29E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
